,Composition,As-cast/other,HardGPa
98,Al15.2Cr19Fe19Co19Cu8.6Ni19,1.0,3.95
99,Al15.3Cr16.9Cu16.9Fe16.9Ni33.9,1.0,3.32
100,Al15.3Cr16.9Fe16.9Cu16.9Ni33.9,1.0,3.32
101,Al15.4Co15.4Cr15.4Cu7.7Fe15.4Ni30.8,1.0,3.04
102,Al15.4Co15.4Cr15.4Cu7.7Fe30.8Ni15.4,1.0,5.04
103,Al15.4Co15.4Cr15.4Fe15.4Ni30.8Mo7.7,1.0,3.87
104,Al15.4Co15.4Cr15.4Fe15.4Ni38.5,1.0,2.6
105,Al15.4Co15.4Cr15.4Fe30.8Ni15.4Mo7.7,1.0,6.27
106,Al15.4Co15.4Cr30.8Cu7.7Fe15.4Ni15.4,1.0,5.95
107,Al15.4Co30.8Cr15.4Cu7.7Fe15.4Ni15.4,1.0,2.89
108,Al15.4Co30.8Cr15.4Fe15.4Ni15.4Mo7.7,1.0,5.75
109,Al15.4Cr15.4Cu15.4Fe15.4Ni15.4Ti23.1,1.0,5.84
110,Al15.4Cr15.4Fe15.4Co15.4Cu7.7Ni30.8,1.0,3.04
111,Al15.4Cr15.4Fe15.4Co15.4Ni30.8Mo7.7,1.0,3.87
112,Al15.4Cr15.4Fe15.4Co15.4Ni38.5,1.0,2.6
113,Al15.4Cr15.4Fe15.4Co30.8Cu7.7Ni15.4,1.0,2.89
114,Al15.4Cr15.4Fe15.4Co30.8Ni15.4Mo7.7,1.0,5.75
115,Al15.4Cr15.4Fe30.8Co15.4Cu7.7Ni15.4,1.0,5.04
116,Al15.4Cr15.4Fe30.8Co15.4Ni15.4Mo7.7,1.0,6.27
117,Al15.4Cr30.8Fe15.4Co15.4Cu7.7Ni15.4,1.0,5.95
118,Al15.8Co21.1Cr21.1Fe21.1Ni21.1,1.0,3.81
119,Al15.8Cr21.1Fe21.1Co21.1Ni21.1,1.0,3.81
120,Al15Co17Cr17Fe17Ni17Mn17,1.0,5.23
121,Al15Co20Cr20Cu5Fe20Ni20,1.0,3.68
122,Al15Co25Cr10Fe25Ni25,1.0,2.45
123,Al15Co28.3Cr28.3Fe28.3,1.0,6.42
124,Al15Cr28.3Fe28.3Co28.3,1.0,6.42
125,Al16.4Co16.4Cr16.4Cu16.4Fe16.4Ni16.4V1.6,1.0,4.73
126,Al16.4V1.6Cr16.4Fe16.4Co16.4Cu16.4Ni16.4,1.0,4.73
127,Al16.7Co16.7Cr16.7Cu16.7Fe16.7Ni16.7,1.0,4.63
128,Al16.7Co16.7Cr16.7Cu16.7Fe16.7Ti16.7,1.0,5.71
129,Al16.7Co16.7Cr16.7Cu8.3Fe16.7Ni25,1.0,3.51
130,Al16.7Co16.7Cr16.7Cu8.3Fe25Ni16.7,1.0,5.27
131,Al16.7Co16.7Cr16.7Fe16.7Ni16.7Mo16.7,1.0,8.35
132,Al16.7Co16.7Cr16.7Fe16.7Ni16.7Ti16.7,1.0,4.27
133,Al16.7Co16.7Cr16.7Fe16.7Ni25Mo8.3,1.0,5.75
134,Al16.7Co16.7Cr16.7Fe16.7Ni33.3,1.0,3.29
135,Al16.7Co16.7Cr16.7Fe25Ni16.7Mo8.3,1.0,6.23
136,Al16.7Co16.7Cr16.7Fe33.3Ni16.7,1.0,4.76
137,Al16.7Co16.7Cr25Cu8.3Fe16.7Ni16.7,1.0,5.89
138,Al16.7Co16.7Cr33.3Fe16.7Ni16.7,1.0,6.05
139,Al16.7Co16.7Cu16.7Fe16.7Ni16.7Ti16.7,1.0,6.14
140,Al16.7Co20.8Cr20.8Cu20.8Fe20.8,1.0,2.66
141,Al16.7Co20.8Cr20.8Fe20.8Ni20.8,1.0,3.75
142,Al16.7Co25Cr16.7Cu8.3Fe16.7Ni16.7,1.0,4.42
143,Al16.7Co25Cr16.7Fe16.7Ni16.7Mo8.3,1.0,7.27
144,Al16.7Co33.3Cr16.7Fe16.7Ni16.7,1.0,5.22
145,Al16.7Co33.3Cu16.7Fe16.7Ni16.7,1.0,2.44
146,Al16.7Cr16.7Cu16.7Fe16.7Ni33.3,1.0,3.88
147,Al16.7Cr16.7Cu33.3Fe16.7Ni16.7,1.0,3.68
148,Al16.7Cr16.7Fe16.7Co16.7Cu16.7Ni16.7,1.0,4.63
149,Al16.7Cr16.7Fe16.7Co16.7Cu8.3Ni25,1.0,3.51
150,Al16.7Cr16.7Fe16.7Co16.7Ni16.7Mo16.7,1.0,8.35
151,Al16.7Cr16.7Fe16.7Co16.7Ni25Mo8.3,1.0,5.75
152,Al16.7Cr16.7Fe16.7Co16.7Ni33.3,1.0,3.29
153,Al16.7Cr16.7Fe16.7Co25Cu8.3Ni16.7,1.0,4.42
154,Al16.7Cr16.7Fe16.7Co25Ni16.7Mo8.3,1.0,7.27
155,Al16.7Cr16.7Fe16.7Co33.3Ni16.7,1.0,5.22
156,Al16.7Cr16.7Fe16.7Cu16.7Ni33.3,1.0,3.88
157,Al16.7Cr16.7Fe16.7Cu33.3Ni16.7,1.0,3.68
158,Al16.7Cr16.7Fe25Co16.7Cu8.3Ni16.7,1.0,5.27
159,Al16.7Cr16.7Fe25Co16.7Ni16.7Mo8.3,1.0,6.23
160,Al16.7Cr16.7Fe33.3Co16.7Ni16.7,1.0,4.76
161,Al16.7Cr20.8Fe20.8Co20.8Cu20.8,1.0,2.66
162,Al16.7Cr20.8Fe20.8Co20.8Ni20.8,1.0,3.75
163,Al16.7Cr25Fe16.7Co16.7Cu8.3Ni16.7,1.0,5.89
164,Al16.7Cr33.3Fe16.7Co16.7Ni16.7,1.0,6.05
165,Al16.7Fe16.7Co33.3Cu16.7Ni16.7,1.0,2.44
166,Al16Co16.8Cr16.8Fe16.8Ni16.8Mn16.8,1.0,5.25
167,Al16Co20Cr20Fe20Ni20Ti4,1.0,4.64
168,Al17.2Co17.2Cr17.2Fe17.2Ni17.2Ti13.8,1.0,5.15
169,Al17.4Co17.4Cr17.4Cu13Fe17.4Ti17.4,1.0,6.01
